Problem,Fluted LRS,Vampire LRS,Fluted OTT,Vampire OTT
KRS018+1,0.002,0,0.004,0
KRS019+1,300.001,0,350,0
KRS020+1,300.001,300.002,300.233,350
KRS027+1,0.003,0.001,0.006,0.006
KRS053+1,0,0,0.001,0
KRS054+1,0,0,0.001,0
KRS055+1,0,0,0,0
KRS056+1,0,0,0.001,0
KRS058+1,0,0,0.001,0.001
KRS062+1,0,0,0.002,0
KRS066+1,0,0,0.001,0.001
KRS130+1,0,0.001,0.002,0.001
KRS131+1,0.013,0.001,0.017,0.001
KRS132+1,194.11,300.001,43.156,350
KRS134+1,0.001,0.002,0.005,0.004
KRS135+1,0,0,0.001,0
KRS136+1,0,0.001,0,0
KRS165+1,0,300,0,300
KRS166+1,0.001,0.008,0,0.009
KRS168+1,0,0,0,0
KRS170+1,0.001,0.001,0.001,0.001
KRS171+1,0.003,0,0.003,0.001
LCL181+1,0.001,0,0.001,0.002
LCL230+1,0,0,0.003,0
LCL646+1.001,0.002,0,0.002,0
LCL648+1.001,0,0,0,0
LCL649+1.001,0,0,0,0.001
LCL662+1.001,0,0,0.002,0.001
LCL663+1.001,0,0,0,0
LCL679+1.001,0,0,0,0
LCL680+1.001,0,0,0,0.001
LCL681+1.001,0,0,0,0
MSC009+1,300.012,300.205,300.01,300.001
MSC011+1,0.032,0.044,0.004,0.001
SYN001+1,0.014,0.001,0.001,0
SYN007+1.014,350,300.003,350,350
SYN040+1,0.057,0.005,0.035,0.001
SYN041+1,0.009,0,0.01,0.006
SYN044+1,0.008,0,0.005,0.001
SYN045+1,0.006,0,0.005,0.001
SYN046+1,0.009,0,0.008,0.001
SYN047+1,0.011,300,0.008,350
SYN051+1,0.004,0.002,0.005,0.006
SYN052+1,0.009,0,0.002,0.001
SYN053+1,0.007,0.001,0.003,0
SYN054+1,0.01,0,0.004,0.002
SYN055+1,0.008,0,0.003,0.001
SYN057+1,0.006,0,0.003,0.001
SYN058+1,0.007,0,0.003,0
SYN060+1,0.007,0,0.006,0.001
SYN061+1,0.011,0,0.007,0.003
SYN062+1,0.01,0,0.009,0.002
SYN064+1,0.009,0,0.004,0
SYN068+1,0.005,0,0.004,0
SYN069+1,0.001,0,0.003,0.001
SYN355+1,0.014,0,0.005,0.001
SYN358+1,0.011,0,0.007,0
SYN362+1,0.006,0,0.002,0.001
SYN367+1,0.005,0,0.004,0
SYN373+1,0.006,0,0.003,0
SYN375+1,0.002,300.003,0.004,350
SYN377+1,0.004,300.002,0.003,350
SYN378+1,0.009,0.004,0.006,0.006
SYN387+1,0.006,0,0.002,0.001
SYN388+1,0.007,0,0.005,0.001
SYN389+1,0.004,0,0.003,0
SYN390+1,0.007,0,0.006,0
SYN391+1,0.009,0,0.003,0.001
SYN392+1,0.005,300.002,0.005,278.848
SYN393+1.003,0.006,300,0.004,350
SYN394+1,0.009,0.002,0.001,0.008
SYN395+1,0.007,0,0,0.001
SYN396+1,0.001,0,0.006,0.001
SYN397+1,0.011,0,0.006,0
SYN398+1,0.003,0,0.005,0
SYN399+1,0.007,0,0.003,0
SYN400+1,0.012,0,0.005,0
SYN401+1,0.01,0,0.002,0
SYN402+1,0.014,0,0.003,0
SYN403+1,0.009,0,0.004,0
SYN404+1,0.005,0,0.004,0
SYN405+1,0.004,0,0.004,0
SYN406+1,0.005,0,0.004,0
SYN407+1,0.004,0,0.004,0
SYN408+1,0.006,0,0.003,0
SYN410+1,0.006,0,0.004,0
SYN411+1,0.003,0,0.004,0
SYN416+1,0.004,0,0.023,0.002
SYN724+1,0.004,0,0.002,0.001
SYN725+1,0.003,0,0.005,0
SYN915+1,0.001,0,0.003,0
SYN916+1,0.004,0,0.004,0
SYN918+1,0.002,300,0.005,350
SYN920+1,0.002,0.117,0.002,0.126
SYN922+1,0.004,0,0.004,0
SYN923+1,0.004,0,0,0
SYN924+1,0.002,0,0.005,0
SYN925+1,0.003,0,0.001,0
SYN926+1,0.004,0,0.001,0
SYN927+1,0.005,0,0.004,0
SYN928+1,0.003,0.001,0,0.001
SYN929+1,0.002,0,0,0
SYN930+1,0.002,0,0.003,0
SYN931+1,0.002,0,0.003,0.001
SYN932+1,0.001,0,0.001,0
SYN933+1,0.003,0,0,0
SYN934+1,0.004,0,0.004,0
SYN935+1,0.002,0,0.003,0
SYN936+1,0.001,0,0.002,0
SYN937+1,0.002,0,0.001,0
SYN942+1,0.007,0,0.003,0.001
SYN951+1,0.003,0,0.002,0
SYN952+1,0.002,0,0.003,0.001
SYN953+1,0.004,0,0.004,0.001
SYN955+1,0.001,0,0.001,0.001
SYN956+1,0.011,0,0.004,0.004
SYN958+1,0.003,0,0.002,0
SYN959+1,0.002,0,0.002,0
SYN962+1,0.001,0,0.002,0.003
SYN963+1,0.005,0,0.002,0
SYN964+1,0.005,0,0.001,0
SYN969+1,0.005,0,0.001,0
SYN971+1,0.002,0,0.001,0
SYN974+1,0.002,0,0,0.001
SYN976+1,0.004,0,0.001,0.001
SYN977+1,0.001,0,0,0.001
SYN978+1,0.006,0,0.002,0
SYN981+1,0.002,0,0,0
